Location ID,Name,Category,Type of Space,Security,Demarcation,Cleanliness,Seating Types,Seating Capacity,Electrical appliances,Ornaments and Decorations,lat,lon,Remarks,URL
AK-G-08,,People-generated,Garden,Yes,Not demarcated,Clean,None,0,None,None,1.3668018,103.8567615,"Garden 
People-generated
Non demarcated
One section is fenced up and locked (bonsai plants)
Build along the walkways 
First floor residents
Relative organized
No seating
Camera present (police) ","https://www.google.com/maps/search/1.3668018,103.8567615"
AK-G-09,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3665159,103.8568363,"Garden
People-generated
Along the walkway 
No demarcation 
No seating or cameras
Relatively organized","https://www.google.com/maps/search/1.3665159,103.8568363"
AK-G-10,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,None,1.3652238,103.8561741,"Garden
First floor unit
People generated
No demarcation
No seating
No cameras
Relatively disorganized ","https://www.google.com/maps/search/1.3652238,103.8561741"
AK-G-17,,People-generated,Garden,No,Not demarcated,Clean,Mobile,10,None,Present,1.3716197,103.8359898,"Garden
People-generated
No demarcation 
No fencing
Organzied very well
Multiple furniture, roller chairs, wooden stools and plastic chairs in the space, near the shelter
No cameras
Hanging clothes as well","https://www.google.com/maps/search/1.3716197,103.8359898"
AK-G-21,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3748767,103.8553111,"Garden
People generated
Besides playground
No demarcation or fencing
Has labels indicating which plant is which 
No seating or cameras
Relatively organized ","https://www.google.com/maps/search/1.3748767,103.8553111"
AK-G-23,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,None,1.3743313,103.8581143,"Garden
People generated
Built alongside vacated perimeter fence
No demarcation 
No cameras
No seating","https://www.google.com/maps/search/1.3743313,103.8581143"
AK-G-29,,People-generated,Garden,No,Not demarcated,Clean,None,0,None,Present,1.3757441,103.8394354,"Garden
People generated 
No demarcation
Potted plants with different decorations
No seating 
No cameras","https://www.google.com/maps/search/1.3757441,103.8394354"
AK-G-37,,People-generated,Garden,No,Not demarcated,Semi-clean,None,0,None,None,1.3793828,103.8375361,"Garden
Illegal
People generated
No demarcation 
No cameras
Has a notice for removal ","https://www.google.com/maps/search/1.3793828,103.8375361"
AK-O-01,,People-generated,Outdoor,No,Not demarcated,Semi-clean,Mobile,5,None,None,1.3673479,103.8369259,"Outdoor
People generated
No demarcation 
Multiple chairs placed outdoors behind a coffee shop, could be a smoking corner too
No cameras ","https://www.google.com/maps/search/1.3673479,103.8369259"
AK-O-02,,People-generated,Outdoor,No,Not demarcated,Clean,Mobile,10,None,None,1.3646332,103.8497958,"Outdoor
People generated
Adjacent to coffee shop
Movable benches stacked
Could be laid out in normal times for people to gather in large space
No demarcation 
No cameras
Beside bus/truck carpark ","https://www.google.com/maps/search/1.3646332,103.8497958"
AK-O-03,,People-generated,Outdoor,No,Demarcated,Clean,Mixed,6,None,None,1.3793228,103.8395239,"Outdoor
People generated
Additional chairs provided within space a

Dust in as wel
Near a small garden
Demarcated by Low fence
No cameras","https://www.google.com/maps/search/1.3793228,103.8395239"
AK-V-01,,People-generated,Void Deck,No,Not demarcated,Clean,MIxed,24,None,None,1.3613072,103.854614,"Void deck 
People generated
No demarcation
Table top 
1 six seater table 
4 three seater benches
Multiple plastic chairs stacked
Wooden table folded
No cameras","https://www.google.com/maps/search/1.3613072,103.854614"
