Location ID,Name,Category,Type of Space,Security,Demarcation,Cleanliness,Seating Types,Seating Capacity,Electrical appliances,Ornaments and Decorations,lat,lon,Remarks,URL
Dropped pin,"Community Garden
State-people
Demarcated by fencing and signage
No seating or cameras
Locked",State-people,Garden,No,Demarcated,Clean,None,0,,,1.3754193,103.8376722,,"https://www.google.com/maps/search/1.3754193,103.8376722"
Dropped pin,"Community garden
State-people
Demarcated by fencing and signages 
Built alongside a hill
Locked
Relatively organzied
No cameras 
Some chairs are found outside of the space, I looking into the garden (people generated) ",State-people,Garden,No,Demarcated,Clean,Mobile,2,,,1.3755373,103.835567,,"https://www.google.com/maps/search/1.3755373,103.835567"
Dropped pin,"Garden
People generated 
No demarcation
Potted plants with different decorations
No seating 
No cameras",People-generated,Garden,No,Not demarcated,Clean,None,0,,,1.3757441,103.8394354,,"https://www.google.com/maps/search/1.3757441,103.8394354"
Dropped pin,"Community garden
State-people
Demarcated by signage and fencing
Locked
Has aviary 
Seating present
Ornaments and decorations around the space 
Relatively organized 
No cameras ",State-people,Garden,No,Demarcated,Clean,Mobile,4,,,1.3759311,103.8408597,,"https://www.google.com/maps/search/1.3759311,103.8408597"
Dropped pin,"Void deck 
State-people
Not demarcated
2 four seater tables
Multiple wall benches (4)
Additional plastic chairs provided (3)
3 three seater benches placed in front of TV
No cameras ",State-people,Void Deck,No,Not demarcated,Clean,Mixed,24,,,1.3813145,103.8404443,,"https://www.google.com/maps/search/1.3813145,103.8404443"
Dropped pin,"Community garden
State-people
Demarcated by signage and fencing
No cameras
Seating found in toolshed ",State-people,Garden,No,Demarcated,Clean,Mobile,4,,,1.3815159,103.8404074,,"https://www.google.com/maps/search/1.3815159,103.8404074"
Dropped pin,"Residents corner
State-people
Demarcated by rails and Low Walls
Store room and toilet present
Tv cabinet locked
10 single seats in front of TV
45 single seats around the space
2 four seater tables
Two additional plastic and roller chairs provided 
No camera",State-people,Resident's Corner,No,Demarcated,Clean,Mixed,59,,,1.3811948,103.8430692,,"https://www.google.com/maps/search/1.3811948,103.8430692"
Dropped pin,"Void deck
State-people
Demarcated by Low Walls
Additional chairs provided within the space
No picture ",State-people,Void Deck,No,Demarcated,Clean,Mixed,8,,,1.3792598,103.8417026,,"https://www.google.com/maps/search/1.3792598,103.8417026"
Dropped pin,"Residents corner
State provideddemarcated by Low Walls
Tv seems to have been removed
Toilet present
1 four seater chess table
30 single seats 
5 seats in front of tv cabinet 
No camera ",State-provided,Resident's Corner,No,Demarcated,Clean,Fixed,39,,,1.3789776,103.8432777,,"https://www.google.com/maps/search/1.3789776,103.8432777"
Dropped pin,"Senior citizens corner
State-provided
Demarcated by Low Walls and signages 
Tv inside cabinet 
6 four seater tables 
7 Two seater bench 
5 single seats in front of TV
Toilet present 
Cameras present",State-provided,Elderly Care,Yes,Demarcated,Clean,Fixed,43,,,1.3679498,103.8490944,,"https://www.google.com/maps/search/1.3679498,103.8490944"
Dropped pin,"Community Garden
State-people
Demarcated by fencing and signage
Relatively organized 
Seating found at workshed 
No cameras
Locked",State-people,Garden,No,Demarcated,Clean,Mobile,4,,,1.365197,103.8455438,,"https://www.google.com/maps/search/1.365197,103.8455438"
Dropped pin,"Community garden
Small 
State-people
Lockeddemarcated by fencing
No seats
Relatively barren 
No camera",State-people,Garden,No,Demarcated,Clean,None,0,,,1.3650723,103.8468383,,"https://www.google.com/maps/search/1.3650723,103.8468383"
Dropped pin,"Senior citizen corner
State-provided
Demarcated by rails and signage 
TV locked in cabinet
Toilet present
7 four seater tables 
Chinese decorations hung 
No camera ",State-provided,Elderly Care,No,Demarcated,Clean,Fixed,28,,,1.3651122,103.8483662,,"https://www.google.com/maps/search/1.3651122,103.8483662"
Dropped pin,"Outdoor
People generated
Adjacent to coffee shop
Movable benches stacked
Could be laid out in normal times for people to gather in large space
No demarcation 
No cameras
Beside bus/truck carpark ",People-generated,Outdoor,No,Not demarcated,Clean,Mobile,10,,,1.3646332,103.8497958,,"https://www.google.com/maps/search/1.3646332,103.8497958"
Dropped pin,"Void deck 
People generated
No demarcation 
Two chairs, a cigarette container present
Mirror also present
Could be used by workers who deal with the utilities services of the block ",People-generated,Void Deck,No,Not demarcated,Clean,Mobile,2,,,1.3639971,103.8496292,,"https://www.google.com/maps/search/1.3639971,103.8496292"
Dropped pin,"Community garden
State-people
Demarcated by fencing
No seating
No cameras",State-people,Garden,No,Demarcated,Clean,None,0,,,1.3633502,103.8517863,,"https://www.google.com/maps/search/1.3633502,103.8517863"
Dropped pin,"Community Garden
State-people
Demarcated by fence and signage
Small but organized
No cameras
No seating",State-people,Garden,No,Demarcated,Clean,None,0,,,1.3631155,103.8520787,,"https://www.google.com/maps/search/1.3631155,103.8520787"
